Player,Team,Salary
KA Pollard,Mumbai Indians,"$750,000"
MM Patel,Mumbai Indians,"$700,000"
RG Sharma,Mumbai Indians,"$2,000,000"
AC Thomas,Pune Warriors,"$100,000"
CJ Ferguson,Pune Warriors,"$300,000"
GC Smith,Pune Warriors,"$500,000"
JD Ryder,Pune Warriors,"$150,000"
JE Taylor,Pune Warriors,"$100,000"
M Kartik,Pune Warriors,"$400,000"
MR Marsh,Pune Warriors,"$290,000"
NL McCullum,Pune Warriors,"$100,000"
RV Uthappa,Pune Warriors,"$2,100,000"
SC Ganguly,Pune Warriors,"$400,000"
TD Paine,Pune Warriors,"$270,000"
WD Parnell,Pune Warriors,"$160,000"
Yuvraj Singh,Pune Warriors,"$1,800,000"
J Botha,Rajasthan Royals,"$950,000"
JDP Oram,Rajasthan Royals,"$250,000"
LRPL Taylor,Rajasthan Royals,"$1,000,000"
R Dravid,Rajasthan Royals,"$500,000"
SK Warne,Rajasthan Royals,"$450,000"
SR Watson,Rajasthan Royals,"$125,000"
SW Tait,Rajasthan Royals,"$300,000"
A Mithun,Royal Challengers Bangalore,"$260,000"
AB de Villiers,Royal Challengers Bangalore,"$1,100,000"
CA Pujara,Royal Challengers Bangalore,"$700,000"
CH Gayle,Royal Challengers Bangalore,"$650,000"
CK Langeveldt,Royal Challengers Bangalore,"$140,000"
DL Vettori,Royal Challengers Bangalore,"$550,000"
JJ van der Wath,Royal Challengers Bangalore,"$50,000"
LA Pomersbach,Royal Challengers Bangalore,"$50,000"
M Kaif,Royal Challengers Bangalore,"$130,000"
SS Tiwary,Royal Challengers Bangalore,"$1,600,000"
TM Dilshan,Royal Challengers Bangalore,"$650,000"
Z Khan,Royal Challengers Bangalore,"$900,000"
