Player,Team,Salary
SL Malinga,Mumbai Indians,"$285,700"
Yuvraj Singh,Mumbai Indians,"$142,900"
AJ Turner,Rajasthan Royals,"$71,400"
AM Rahane,Rajasthan Royals,"$625,000"
BA Stokes,Rajasthan Royals,"$1,953,130"
DS Kulkarni,Rajasthan Royals,"$117,190"
IS Sodhi,Rajasthan Royals,"$69,573"
JC Archer,Rajasthan Royals,"$1,125,000"
JC Buttler,Rajasthan Royals,"$687,500"
JD Unadkat,Rajasthan Royals,"$1,200,000"
K Gowtham,Rajasthan Royals,"$968,750"
LS Livingstone,Rajasthan Royals,"$71,400"
M Vohra,Rajasthan Royals,"$28,600"
MK Lomror,Rajasthan Royals,"$31,250"
O Thomas,Rajasthan Royals,"$157,100"
R Parag,Rajasthan Royals,"$28,600"
RA Tripathi,Rajasthan Royals,"$531,250"
S Gopal,Rajasthan Royals,"$31,250"
S Midhun,Rajasthan Royals,"$31,250"
Shashank Singh,Rajasthan Royals,"$42,900"
Shubham Ranjane,Rajasthan Royals,"$28,600"
SPD Smith,Rajasthan Royals,"$1,953,130"
STR Binny,Rajasthan Royals,"$78,130"
SV Samson,Rajasthan Royals,"$1,250,000"
VR Aaron,Rajasthan Royals,"$342,900"
AB de Villiers,Royal Challengers Bangalore,"$1,718,750"
AD Nath,Royal Challengers Bangalore,"$514,300"
C de Grandhomme,Royal Challengers Bangalore,"$343,750"
DW Steyn,Royal Challengers Bangalore,"$345,000"
Gurkeerat Singh,Royal Challengers Bangalore,"$71,400"
H Klaasen,Royal Challengers Bangalore,"$71,400"
Himmat Singh,Royal Challengers Bangalore,"$92,900"
K Khejroliya,Royal Challengers Bangalore,"$15,000"
Milind Kumar,Royal Challengers Bangalore,"$28,600"
MM Ali,Royal Challengers Bangalore,"$265,630"
Mohammed Siraj,Royal Challengers Bangalore,"$406,250"
MP Stoinis,Royal Challengers Bangalore,"$968,750"
NA Saini,Royal Challengers Bangalore,"$468,750"
NM Coulter-Nile,Royal Challengers Bangalore,"$343,750"
P Negi,Royal Challengers Bangalore,"$156,250"
P Ray Barman,Royal Challengers Bangalore,"$214,300"
PA Patel,Royal Challengers Bangalore,"$265,630"
S Dube,Royal Challengers Bangalore,"$714,300"
SO Hetmyer,Royal Challengers Bangalore,"$600,000"
TG Southee,Royal Challengers Bangalore,"$156,250"
UT Yadav,Royal Challengers Bangalore,"$656,250"
V Kohli,Royal Challengers Bangalore,"$2,656,250"
Washington Sundar,Royal Challengers Bangalore,"$500,000"
YS Chahal,Royal Challengers Bangalore,"$937,500"
Abhishek Sharma,Sunrisers Hyderabad,"$85,940"
B Kumar,Sunrisers Hyderabad,"$1,328,130"
B Stanlake,Sunrisers Hyderabad,"$78,130"
Basil Thampi,Sunrisers Hyderabad,"$148,440"
DA Warner,Sunrisers Hyderabad,"$1,953,130"
DJ Hooda,Sunrisers Hyderabad,"$562,500"
JM Bairstow,Sunrisers Hyderabad,"$314,300"
KK Ahmed,Sunrisers Hyderabad,"$468,750"
KS Williamson,Sunrisers Hyderabad,"$468,750"
MJ Guptill,Sunrisers Hyderabad,"$142,900"
MK Pandey,Sunrisers Hyderabad,"$1,718,750"
Mohammad Nabi,Sunrisers Hyderabad,"$156,250"
Rashid Khan,Sunrisers Hyderabad,"$1,406,250"
RK Bhui,Sunrisers Hyderabad,"$31,250"
S Kaul,Sunrisers Hyderabad,"$593,750"
S Nadeem,Sunrisers Hyderabad,"$500,000"
Sandeep Sharma,Sunrisers Hyderabad,"$468,750"
Shakib Al Hasan,Sunrisers Hyderabad,"$312,500"
SP Goswami,Sunrisers Hyderabad,"$156,250"
T Natarajan,Sunrisers Hyderabad,"$62,500"
V Shankar,Sunrisers Hyderabad,"$500,000"
WP Saha,Sunrisers Hyderabad,"$171,400"
YK Pathan,Sunrisers Hyderabad,"$296,880"
