Player,Team,Salary
A Choudhary,Royal Challengers Bangalore,"$46,880"
AA Joshi,Royal Challengers Bangalore,"$31,250"
AB de Villiers,Royal Challengers Bangalore,"$1,718,750"
BB McCullum,Royal Challengers Bangalore,"$562,500"
C de Grandhomme,Royal Challengers Bangalore,"$343,750"
CJ Anderson,Royal Challengers Bangalore,"$150,000"
CR Woakes,Royal Challengers Bangalore,"$1,156,250"
K Khejroliya,Royal Challengers Bangalore,"$15,000"
K Khejroloya,Royal Challengers Bangalore,"$132,810"
M Ashwin,Royal Challengers Bangalore,"$343,750"
M Vohra,Royal Challengers Bangalore,"$171,880"
Mandeep Singh,Royal Challengers Bangalore,"$218,750"
MM Ali,Royal Challengers Bangalore,"$265,630"
Mohammed Siraj,Royal Challengers Bangalore,"$406,250"
NA Saini,Royal Challengers Bangalore,"$468,750"
NM Coulter-Nile,Royal Challengers Bangalore,"$343,750"
P Negi,Royal Challengers Bangalore,"$156,250"
PA Patel,Royal Challengers Bangalore,"$265,630"
PU Deshpande,Royal Challengers Bangalore,"$31,250"
Q de Kock,Royal Challengers Bangalore,"$437,500"
SN Khan,Royal Challengers Bangalore,"$468,750"
TG Southee,Royal Challengers Bangalore,"$156,250"
UT Yadav,Royal Challengers Bangalore,"$656,250"
V Kohli,Royal Challengers Bangalore,"$2,656,250"
Washington Sundar,Royal Challengers Bangalore,"$500,000"
YS Chahal,Royal Challengers Bangalore,"$937,500"
B Kumar,Sunrisers Hyderabad,"$1,328,130"
B Stanlake,Sunrisers Hyderabad,"$78,130"
Basil Thampi,Sunrisers Hyderabad,"$148,440"
Bipul Sharma,Sunrisers Hyderabad,"$31,250"
CJ Jordan,Sunrisers Hyderabad,"$156,250"
CR Brathwaite,Sunrisers Hyderabad,"$312,500"
DA Warner,Sunrisers Hyderabad,"$1,953,130"
DJ Hooda,Sunrisers Hyderabad,"$562,500"
KK Ahmed,Sunrisers Hyderabad,"$468,750"
KS Williamson,Sunrisers Hyderabad,"$468,750"
M Hassan,Sunrisers Hyderabad,"$31,250"
MK Pandey,Sunrisers Hyderabad,"$1,718,750"
Mohammad Nabi,Sunrisers Hyderabad,"$156,250"
Rashid Khan,Sunrisers Hyderabad,"$1,406,250"
RK Bhui,Sunrisers Hyderabad,"$31,250"
S Dhawan,Sunrisers Hyderabad,"$812,500"
S Kaul,Sunrisers Hyderabad,"$593,750"
Sachin Baby,Sunrisers Hyderabad,"$31,250"
Sandeep Sharma,Sunrisers Hyderabad,"$468,750"
Shakib Al Hasan,Sunrisers Hyderabad,"$312,500"
SP Goswami,Sunrisers Hyderabad,"$156,250"
T Natarajan,Sunrisers Hyderabad,"$62,500"
TD Agarwal,Sunrisers Hyderabad,"$31,250"
WP Saha,Sunrisers Hyderabad,"$781,250"
YK Pathan,Sunrisers Hyderabad,"$296,880"
