Player,Team,Salary
SA Yadav,Mumbai Indians,"$500,000"
SE Rutherford,Mumbai Indians,"$290,000"
SL Malinga,Mumbai Indians,"$285,700"
SS Tiwary,Mumbai Indians,"$71,400"
TA Boult,Mumbai Indians,"$460,000"
AJ Tye,Rajasthan Royals,"$142,900"
Akash Singh,Rajasthan Royals,"$28,600"
Anuj Rawat,Rajasthan Royals,"$114,300"
AS Rajpoot,Rajasthan Royals,"$430,000"
BA Stokes,Rajasthan Royals,"$1,953,130"
DA Miller,Rajasthan Royals,"$107,100"
JC Archer,Rajasthan Royals,"$1,125,000"
JC Buttler,Rajasthan Royals,"$687,500"
JD Unadkat,Rajasthan Royals,"$428,600"
Kartik Tyagi,Rajasthan Royals,"$185,700"
M Markande,Rajasthan Royals,"$290,000"
M Vohra,Rajasthan Royals,"$28,600"
MK Lomror,Rajasthan Royals,"$31,250"
O Thomas,Rajasthan Royals,"$71,400"
R Parag,Rajasthan Royals,"$28,600"
R Tewatia,Rajasthan Royals,"$430,000"
RV Uthappa,Rajasthan Royals,"$428,600"
S Gopal,Rajasthan Royals,"$31,250"
Shashank Singh,Rajasthan Royals,"$42,900"
SPD Smith,Rajasthan Royals,"$1,953,130"
SV Samson,Rajasthan Royals,"$1,250,000"
TK Curran,Rajasthan Royals,"$142,900"
VR Aaron,Rajasthan Royals,"$342,900"
YBK Jaiswal,Rajasthan Royals,"$342,900"
A Zampa,Royal Challengers Bangalore,"$45,000"
AB de Villiers,Royal Challengers Bangalore,"$1,718,750"
AJ Finch,Royal Challengers Bangalore,"$628,600"
CH Morris,Royal Challengers Bangalore,"$1,718,750"
D Padikkal,Royal Challengers Bangalore,"$28,600"
DW Steyn,Royal Challengers Bangalore,"$285,700"
Gurkeerat Singh,Royal Challengers Bangalore,"$71,400"
I Udana,Royal Challengers Bangalore,"$71,400"
JR Philippe,Royal Challengers Bangalore,"$28,600"
KW Richardson,Royal Challengers Bangalore,"$571,400"
MM Ali,Royal Challengers Bangalore,"$265,630"
Mohammed Siraj,Royal Challengers Bangalore,"$406,250"
NA Saini,Royal Challengers Bangalore,"$468,750"
P Negi,Royal Challengers Bangalore,"$156,250"
PA Patel,Royal Challengers Bangalore,"$265,630"
PU Deshpande,Royal Challengers Bangalore,"$28,600"
S Dube,Royal Challengers Bangalore,"$714,300"
Shahbaz Ahmed,Royal Challengers Bangalore,"$28,600"
UT Yadav,Royal Challengers Bangalore,"$656,250"
V Kohli,Royal Challengers Bangalore,"$2,656,250"
Washington Sundar,Royal Challengers Bangalore,"$500,000"
YS Chahal,Royal Challengers Bangalore,"$937,500"
Abdul Samad,Sunrisers Hyderabad,"$28,600"
Abhishek Sharma,Sunrisers Hyderabad,"$85,940"
B Kumar,Sunrisers Hyderabad,"$1,328,130"
B Stanlake,Sunrisers Hyderabad,"$78,130"
Basil Thampi,Sunrisers Hyderabad,"$148,440"
DA Warner,Sunrisers Hyderabad,"$1,953,130"
FA Allen,Sunrisers Hyderabad,"$71,400"
JM Bairstow,Sunrisers Hyderabad,"$314,300"
JO Holder,Sunrisers Hyderabad,"$105,000"
KK Ahmed,Sunrisers Hyderabad,"$468,750"
KS Williamson,Sunrisers Hyderabad,"$468,750"
MK Pandey,Sunrisers Hyderabad,"$1,718,750"
Mohammad Nabi,Sunrisers Hyderabad,"$156,250"
MR Marsh,Sunrisers Hyderabad,"$285,700"
PK Garg,Sunrisers Hyderabad,"$271,400"
R Sanjay Yadav,Sunrisers Hyderabad,"$28,600"
Rashid Khan,Sunrisers Hyderabad,"$1,406,250"
S Kaul,Sunrisers Hyderabad,"$593,750"
S Nadeem,Sunrisers Hyderabad,"$500,000"
Sandeep Sharma,Sunrisers Hyderabad,"$468,750"
SP Goswami,Sunrisers Hyderabad,"$156,250"
T Natarajan,Sunrisers Hyderabad,"$62,500"
V Shankar,Sunrisers Hyderabad,"$500,000"
Virat Singh,Sunrisers Hyderabad,"$271,400"
WP Saha,Sunrisers Hyderabad,"$171,400"
